benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0093,LOF,0.5651,0.4102,0.3378
wine_benchmark_0093,PCA,0.5584,0.4248,0.006
wine_benchmark_0093,LODA,0.5862,0.4362,0.037
wine_benchmark_0094,KNN,0.5466,0.4093,0.4499
wine_benchmark_0094,LOF,0.554,0.4121,0.3246
wine_benchmark_0094,PCA,0.5415,0.4255,0.006
wine_benchmark_0094,LODA,0.5421,0.4114,0.041
wine_benchmark_0095,KNN,0.5505,0.4144,0.4544
wine_benchmark_0095,LOF,0.5454,0.4173,0.3398
wine_benchmark_0095,PCA,0.5527,0.4356,0.006
wine_benchmark_0095,LODA,0.5366,0.4029,0.044
wine_benchmark_0096,KNN,0.5696,0.4385,0.4239
wine_benchmark_0096,LOF,0.5592,0.4184,0.3243
wine_benchmark_0096,PCA,0.5577,0.436,0.006
wine_benchmark_0096,LODA,0.5702,0.4316,0.037
wine_benchmark_0097,KNN,0.5603,0.4253,0.4349
wine_benchmark_0097,LOF,0.5654,0.4268,0.3318
wine_benchmark_0097,PCA,0.5625,0.4327,0.006
wine_benchmark_0097,LODA,0.5237,0.3814,0.037
wine_benchmark_0098,KNN,0.5497,0.4255,0.4359
wine_benchmark_0098,LOF,0.5674,0.4219,0.3393
wine_benchmark_0098,PCA,0.5528,0.4219,0.006
wine_benchmark_0098,LODA,0.5417,0.4072,0.036
wine_benchmark_0099,KNN,0.5543,0.4053,0.4184
wine_benchmark_0099,LOF,0.5621,0.3975,0.3193
wine_benchmark_0099,PCA,0.5511,0.4045,0.006
wine_benchmark_0099,LODA,0.643,0.4559,0.037
wine_benchmark_0100,KNN,0.5577,0.4184,0.4124
wine_benchmark_0100,LOF,0.5575,0.4005,0.3143
wine_benchmark_0100,PCA,0.5611,0.4237,0.007
wine_benchmark_0100,LODA,0.6423,0.4768,0.037
wine_benchmark_0101,KNN,0.5474,0.4192,0.4234
wine_benchmark_0101,LOF,0.5623,0.4293,0.3423
wine_benchmark_0101,PCA,0.5204,0.4004,0.006
wine_benchmark_0101,LODA,0.5267,0.4177,0.037
wine_benchmark_0102,KNN,0.5145,0.3915,0.4434
wine_benchmark_0102,LOF,0.5454,0.3999,0.3423
wine_benchmark_0102,PCA,0.5198,0.3931,0.006
wine_benchmark_0102,LODA,0.5386,0.4066,0.04
wine_benchmark_0103,KNN,0.5465,0.4015,0.4339
wine_benchmark_0103,LOF,0.5542,0.4149,0.3323
wine_benchmark_0103,PCA,0.5254,0.3948,0.006
wine_benchmark_0103,LODA,0.5349,0.3981,0.038
wine_benchmark_0104,KNN,0.5383,0.4031,0.4364
wine_benchmark_0104,LOF,0.5559,0.4224,0.3244
wine_benchmark_0104,PCA,0.529,0.3957,0.006
wine_benchmark_0104,LODA,0.5931,0.4499,0.0411
wine_benchmark_0105,KNN,0.5342,0.4132,0.4434
wine_benchmark_0105,LOF,0.5416,0.4188,0.3453
wine_benchmark_0105,PCA,0.5185,0.4111,0.006
wine_benchmark_0105,LODA,0.524,0.3921,0.039
wine_benchmark_0106,KNN,0.541,0.4069,0.4364
wine_benchmark_0106,LOF,0.547,0.4091,0.3183
wine_benchmark_0106,PCA,0.5363,0.4121,0.006
wine_benchmark_0106,LODA,0.5935,0.4413,0.036
wine_benchmark_0107,KNN,0.53,0.414,0.4444
wine_benchmark_0107,LOF,0.5497,0.4318,0.3413
wine_benchmark_0107,PCA,0.5232,0.4104,0.006
wine_benchmark_0107,LODA,0.5144,0.3879,0.039
wine_benchmark_0108,KNN,0.5369,0.4102,0.4324
